t_opti,x_opti,y_opti,z_opti,qx_opti,qy_opti,qz_opti,qw_opti
1.8,0.145065,-0.802784,-0.16782,-0.391447,0.101796,0.007847,-0.914519
1.808333,0.144975,-0.802767,-0.1688,-0.395513,0.100351,0.005379,-0.912946
1.816667,0.145009,-0.802985,-0.169862,-0.397776,0.099872,0.005847,-0.912012
1.825,0.145235,-0.803357,-0.170947,-0.398945,0.100698,0.0083,-0.911391
1.833333,0.145155,-0.803349,-0.171913,-0.40273,0.099402,0.006104,-0.909885
1.841667,0.145352,-0.803697,-0.172973,-0.40382,0.100311,0.008657,-0.909281
1.85,0.14547,-0.803892,-0.173998,-0.407143,0.100037,0.009526,-0.90782
1.858333,0.145397,-0.803759,-0.174864,-0.410183,0.099289,0.006813,-0.906557
1.866667,0.145567,-0.80406,-0.175927,-0.410779,0.099826,0.009415,-0.906204
1.875,0.145633,-0.804164,-0.176888,-0.412902,0.099676,0.009609,-0.905254
1.883333,0.145704,-0.804384,-0.17784,-0.415937,0.099726,0.010879,-0.903843
1.891667,0.145619,-0.804154,-0.178663,-0.418672,0.09879,0.007672,-0.902716
1.9,0.14583,-0.804532,-0.179731,-0.42011,0.099224,0.011025,-0.901965
1.908333,0.145789,-0.804325,-0.180535,-0.422549,0.098352,0.008359,-0.900949
1.916667,0.145983,-0.804577,-0.181541,-0.423193,0.099053,0.010723,-0.900545
1.925,0.146063,-0.804648,-0.182483,-0.425169,0.098961,0.010836,-0.899623
1.933333,0.146103,-0.804732,-0.183415,-0.427257,0.098715,0.01073,-0.898661
1.941667,0.146201,-0.80477,-0.184364,-0.429517,0.0988,0.010925,-0.897572
1.95,0.146271,-0.804823,-0.185318,-0.431542,0.098708,0.01093,-0.89661
1.958333,0.14615,-0.804727,-0.186192,-0.435731,0.097595,0.007284,-0.89474
1.966667,0.146381,-0.805004,-0.18728,-0.436078,0.098706,0.010757,-0.894415
1.975,0.146459,-0.805023,-0.18826,-0.438179,0.098314,0.010666,-0.893431
1.983333,0.146338,-0.804836,-0.189128,-0.441912,0.097223,0.007992,-0.891738
1.991667,0.146578,-0.805075,-0.19021,-0.442229,0.098125,0.011104,-0.891449
2,0.14665,-0.805077,-0.191185,-0.444457,0.098042,0.011329,-0.890347
2.008333,0.146706,-0.80507,-0.192167,-0.446402,0.098092,0.011566,-0.889365
2.016667,0.146599,-0.804892,-0.19304,-0.449835,0.097191,0.009164,-0.88776
2.025,0.147018,-0.805697,-0.1944,-0.446256,0.099713,0.018581,-0.889139
2.033333,0.146699,-0.804864,-0.194989,-0.453991,0.09697,0.009396,-0.885664
2.041667,0.146756,-0.804839,-0.195967,-0.455979,0.096808,0.009338,-0.884661
2.05,0.147182,-0.805669,-0.197317,-0.452558,0.0998,0.019098,-0.885927
2.058333,0.147039,-0.805025,-0.198013,-0.45862,0.098071,0.012489,-0.883116
2.066667,0.146948,-0.804771,-0.198927,-0.462386,0.09677,0.009464,-0.881331
2.075,0.147009,-0.80474,-0.199948,-0.464412,0.096449,0.009396,-0.880302
2.083333,0.147442,-0.805601,-0.201374,-0.460932,0.099287,0.019217,-0.881655
2.091667,0.147157,-0.804721,-0.201991,-0.468516,0.096302,0.009363,-0.878141
2.1,0.147396,-0.804901,-0.203121,-0.46944,0.097322,0.012287,-0.877498
2.108333,0.147466,-0.804868,-0.204121,-0.471456,0.09729,0.01231,-0.87642
2.116667,0.147624,-0.804763,-0.205138,-0.473326,0.097293,0.012474,-0.875409
2.125,0.147646,-0.804717,-0.206111,-0.475377,0.097306,0.012534,-0.874294
2.133333,0.147704,-0.804683,-0.207061,-0.477274,0.097413,0.012527,-0.873248
2.141667,0.147732,-0.804651,-0.207984,-0.479063,0.097324,0.012405,-0.87228
2.15,0.147755,-0.804612,-0.20886,-0.480678,0.097561,0.012358,-0.871366
2.158333,0.147791,-0.804564,-0.209699,-0.482195,0.09767,0.012449,-0.870513
2.166667,0.147774,-0.804513,-0.210491,-0.483607,0.097669,0.012241,-0.869733
2.175,0.147637,-0.804242,-0.211135,-0.486423,0.096676,0.009331,-0.868308
2.183333,0.147645,-0.804191,-0.211852,-0.487789,0.09676,0.009188,-0.867534
2.191667,0.147655,-0.804118,-0.212579,-0.48891,0.096873,0.009321,-0.866889
2.2,0.147627,-0.804067,-0.213209,-0.490045,0.097134,0.009562,-0.866216
2.208333,0.147613,-0.804016,-0.21385,-0.490935,0.097354,0.009652,-0.865686
2.216667,0.14756,-0.803953,-0.214477,-0.492097,0.097503,0.009765,-0.865008
2.225,0.147547,-0.803896,-0.215073,-0.493071,0.097759,0.009859,-0.864423
2.233333,0.147535,-0.80384,-0.215686,-0.49405,0.097941,0.010083,-0.86384
2.241667,0.147513,-0.803772,-0.216249,-0.495212,0.098131,0.009967,-0.863155
2.25,0.147536,-0.803715,-0.216811,-0.496109,0.098423,0.009918,-0.862607
2.258333,0.147504,-0.803648,-0.217378,-0.497255,0.098519,0.009978,-0.861935
2.266667,0.147534,-0.803589,-0.217913,-0.498409,0.098771,0.009923,-0.86124
2.275,0.147547,-0.803511,-0.21845,-0.499444,0.098896,0.00983,-0.860627
2.283333,0.147572,-0.803431,-0.218977,-0.500562,0.099155,0.009786,-0.859948
2.291667,0.147598,-0.80335,-0.219504,-0.501468,0.099196,0.009715,-0.859416
2.3,0.147628,-0.803266,-0.219995,-0.502652,0.099487,0.009715,-0.85869
2.308333,0.147685,-0.80318,-0.220498,-0.50374,0.09937,0.009525,-0.858068
2.316667,0.147742,-0.803086,-0.220968,-0.504876,0.099598,0.009389,-0.857375
2.325,0.1478,-0.80299,-0.221459,-0.505681,0.099351,0.009205,-0.856932
2.333333,0.147853,-0.802888,-0.221929,-0.506835,0.099433,0.009045,-0.856242
2.341667,0.147937,-0.802794,-0.222409,-0.507899,0.099399,0.008854,-0.855617
